x	f(x)	f'(x)
1,5000	0,034132	-0,151175
1,5500	0,027216	-0,125986
1,6000	0,021484	-0,103753
1,6500	0,016791	-0,084450
1,7000	0,012993	-0,067951
1,7500	0,009953	-0,054056
1,8000	0,007548	-0,042519
1,8500	0,005666	-0,033072
1,9000	0,004210	-0,025438
1,9500	0,003097	-0,019349
2,0000	0,002254	-0,014555
2,0500	0,001623	-0,010827
2,1000	0,001157	-0,007964
2,1500	0,000815	-0,005793
2,2000	0,000568	-0,004166
2,2500	0,000392	-0,002961
2,3000	0,000267	-0,002081
2,3500	0,000180	-0,001444
2,4000	0,000119	-0,000991
2,4500	0,000078	-0,000671
2,5000	0,000051	-0,000449
2,5500	0,000032	-0,000296
2,6000	0,000020	-0,000193
2,6500	0,000013	-0,000123
2,7000	0,000008	-0,000078
2,7500	0,000005	-0,000048
2,8000	0,000003	-0,000029
2,8500	0,000001	-0,000017
2,9000	0,000001	-0,000010
2,9500	0,000000	-0,000006
3,0000	0,000000	-0,000003
3,0500	0,000000	-0,000002
3,1000	0,000000	-0,000001
3,1500	-0,000000	-0,000000
3,2000	-0,000000	-0,000000
3,2500	-0,000000	0,000000
3,3000	-0,000000	0,000000
3,3500	-0,000000	0,000000
3,4000	-0,000000	0,000000
3,4500	-0,000000	0,000000
3,5000	-0,000000	0,000000
3,5500	-0,000000	0,000000
3,6000	-0,000000	0,000000
3,6500	-0,000000	0,000000
3,7000	-0,000000	0,000000
3,7500	-0,000000	0,000000
3,8000	-0,000000	0,000000
3,8500	-0,000000	0,000000
3,9000	-0,000000	0,000000
3,9500	-0,000000	0,000000
4,0000	-0,000000	0,000000
4,0500	-0,000000	0,000000
4,1000	-0,000000	0,000000
4,1500	-0,000000	0,000000
4,2000	-0,000000	0,000000
4,2500	-0,000000	0,000000
4,3000	-0,000000	0,000000
4,3500	-0,000000	0,000000
4,4000	-0,000000	0,000000
4,4500	-0,000000	0,000000
4,5000	-0,000000	0,000000
4,5500	-0,000000	0,000000
4,6000	-0,000000	0,000000
4,6500	-0,000000	0,000000
4,7000	-0,000000	0,000000
4,7500	-0,000000	0,000000
4,8000	-0,000000	0,000000
4,8500	-0,000000	0,000000
4,9000	-0,000000	0,000000
4,9500	-0,000000	0,000000
5,0000	-0,000000	0,000000
5,0500	-0,000000	0,000000
5,1000	-0,000000	0,000000
5,1500	-0,000000	0,000000
5,2000	-0,000000	0,000000
5,2500	-0,000000	0,000000
5,3000	-0,000000	0,000000
5,3500	-0,000000	0,000000
5,4000	-0,000000	0,000000
5,4500	-0,000000	0,000000
5,5000	-0,000000	0,000000
5,5500	-0,000000	0,000000
5,6000	-0,000000	0,000000
5,6500	-0,000000	0,000000
5,7000	-0,000000	0,000000
5,7500	-0,000000	0,000000
5,8000	-0,000000	0,000000
5,8500	-0,000000	0,000000
5,9000	-0,000000	0,000000
5,9500	-0,000000	0,000000
6,0000	-0,000000	0,000000
6,0500	-0,000000	0,000000
6,1000	-0,000000	0,000000
6,1500	-0,000000	0,000000
6,2000	-0,000000	0,000000
6,2500	-0,000000	0,000000
6,3000	0,000000	0,000000
6,3500	0,000000	-0,000000
6,4000	0,000000	-0,000000
6,4500	0,000000	-0,000000
6,5000	0,000000	-0,000000
