x	f(x)	f'(x)
1,5000	0,997495	0,022888
1,5500	0,999784	0,020786
1,6000	0,999574	-0,029187
1,6500	0,996865	-0,079088
1,7000	0,991665	-0,128791
1,7500	0,983986	-0,178172
1,8000	0,973848	-0,227107
1,8500	0,961275	-0,275475
1,9000	0,946300	-0,323155
1,9500	0,928960	-0,370027
2,0000	0,909297	-0,415973
2,0500	0,887362	-0,460881
2,1000	0,863209	-0,504636
2,1500	0,836899	-0,547130
2,2000	0,808496	-0,588256
2,2500	0,778073	-0,627912
2,3000	0,745705	-0,665998
2,3500	0,711473	-0,702420
2,4000	0,675463	-0,737087
2,4500	0,637765	-0,769910
2,5000	0,598472	-0,800810
2,5500	0,557684	-0,829708
2,6000	0,515501	-0,856532
2,6500	0,472031	-0,881215
2,7000	0,427380	-0,903695
2,7500	0,381661	-0,923917
2,8000	0,334988	-0,941830
2,8500	0,287478	-0,957388
2,9000	0,239249	-0,970554
2,9500	0,190423	-0,981293
3,0000	0,141120	-0,989580
3,0500	0,091465	-0,995393
3,1000	0,041581	-0,998719
3,1500	-0,008407	-0,999548
3,2000	-0,058374	-0,997879
3,2500	-0,108195	-0,993716
3,3000	-0,157746	-0,987068
3,3500	-0,206902	-0,977954
3,4000	-0,255541	-0,966395
3,4500	-0,303542	-0,952421
3,5000	-0,350783	-0,936067
3,5500	-0,397148	-0,917372
3,6000	-0,442520	-0,896385
3,6500	-0,486787	-0,873157
3,7000	-0,529836	-0,847747
3,7500	-0,571561	-0,820218
3,8000	-0,611858	-0,790638
3,8500	-0,650625	-0,759083
3,9000	-0,687766	-0,725630
3,9500	-0,723188	-0,690363
4,0000	-0,756802	-0,653371
4,0500	-0,788525	-0,614746
4,1000	-0,818277	-0,574584
4,1500	-0,845984	-0,532987
4,2000	-0,871576	-0,490057
4,2500	-0,894989	-0,445902
4,3000	-0,916166	-0,400632
4,3500	-0,935053	-0,354361
4,4000	-0,951602	-0,307205
4,4500	-0,965773	-0,259280
4,5000	-0,977530	-0,210708
4,5500	-0,986844	-0,161609
4,6000	-0,993691	-0,112106
4,6500	-0,998054	-0,062323
4,7000	-0,999923	-0,012384
4,7500	-0,999293	0,037586
4,8000	-0,996165	0,087463
4,8500	-0,990547	0,137120
4,9000	-0,982453	0,186435
4,9500	-0,971903	0,235283
5,0000	-0,958924	0,283544
5,0500	-0,943549	0,331096
5,1000	-0,925815	0,377820
5,1500	-0,905767	0,423600
5,2000	-0,883455	0,468321
5,2500	-0,858934	0,511872
5,3000	-0,832267	0,554143
5,3500	-0,803520	0,595030
5,4000	-0,772764	0,634428
5,4500	-0,740077	0,672242
5,5000	-0,705540	0,708375
5,5500	-0,669240	0,742737
5,6000	-0,631267	0,775243
5,6500	-0,591716	0,805811
5,7000	-0,550686	0,834365
5,7500	-0,508279	0,860834
5,8000	-0,464602	0,885151
5,8500	-0,419764	0,907255
5,9000	-0,373877	0,927092
5,9500	-0,327055	0,944612
6,0000	-0,279415	0,959770
6,0500	-0,231078	0,972530
6,1000	-0,182163	0,982859
6,1500	-0,132792	0,990731
6,2000	-0,083089	0,996127
6,2500	-0,033179	0,999033
6,3000	0,016814	0,999442
6,3500	0,066765	0,997353
6,4000	0,116549	0,992771
6,4500	0,166042	0,985708
6,5000	0,215120	0,490779
