x	f(x)	f'(x)
1,5000	0,105135	-0,307950
1,5500	0,090472	-0,278581
1,6000	0,077272	-0,249527
1,6500	0,065504	-0,221363
1,7000	0,055113	-0,194545
1,7500	0,046022	-0,169412
1,8000	0,038140	-0,146201
1,8500	0,031367	-0,125051
1,9000	0,025599	-0,106022
1,9500	0,020730	-0,089106
2,0000	0,016654	-0,074239
2,0500	0,013273	-0,061317
2,1000	0,010492	-0,050205
2,1500	0,008225	-0,040748
2,2000	0,006393	-0,032782
2,2500	0,004925	-0,026139
2,3000	0,003760	-0,020654
2,3500	0,002843	-0,016170
2,4000	0,002128	-0,012540
2,4500	0,001577	-0,009631
2,5000	0,001155	-0,007323
2,5500	0,000836	-0,005510
2,6000	0,000598	-0,004101
2,6500	0,000421	-0,003017
2,7000	0,000292	-0,002192
2,7500	0,000198	-0,001571
2,8000	0,000132	-0,001109
2,8500	0,000085	-0,000771
2,9000	0,000053	-0,000525
2,9500	0,000032	-0,000350
3,0000	0,000017	-0,000227
3,0500	0,000008	-0,000142
3,1000	0,000003	-0,000084
3,1500	-0,000000	-0,000046
3,2000	-0,000002	-0,000022
3,2500	-0,000003	-0,000008
3,3000	-0,000003	0,000001
3,3500	-0,000003	0,000005
3,4000	-0,000002	0,000007
3,4500	-0,000002	0,000008
3,5000	-0,000002	0,000007
3,5500	-0,000001	0,000006
3,6000	-0,000001	0,000005
3,6500	-0,000001	0,000004
3,7000	-0,000001	0,000003
3,7500	-0,000000	0,000003
3,8000	-0,000000	0,000002
3,8500	-0,000000	0,000002
3,9000	-0,000000	0,000001
3,9500	-0,000000	0,000001
4,0000	-0,000000	0,000001
4,0500	-0,000000	0,000000
4,1000	-0,000000	0,000000
4,1500	-0,000000	0,000000
4,2000	-0,000000	0,000000
4,2500	-0,000000	0,000000
4,3000	-0,000000	0,000000
4,3500	-0,000000	0,000000
4,4000	-0,000000	0,000000
4,4500	-0,000000	0,000000
4,5000	-0,000000	0,000000
4,5500	-0,000000	0,000000
4,6000	-0,000000	0,000000
4,6500	-0,000000	0,000000
4,7000	-0,000000	0,000000
4,7500	-0,000000	0,000000
4,8000	-0,000000	0,000000
4,8500	-0,000000	0,000000
4,9000	-0,000000	0,000000
4,9500	-0,000000	0,000000
5,0000	-0,000000	0,000000
5,0500	-0,000000	0,000000
5,1000	-0,000000	0,000000
5,1500	-0,000000	0,000000
5,2000	-0,000000	0,000000
5,2500	-0,000000	0,000000
5,3000	-0,000000	0,000000
5,3500	-0,000000	0,000000
5,4000	-0,000000	0,000000
5,4500	-0,000000	0,000000
5,5000	-0,000000	0,000000
5,5500	-0,000000	0,000000
5,6000	-0,000000	0,000000
5,6500	-0,000000	0,000000
5,7000	-0,000000	0,000000
5,7500	-0,000000	0,000000
5,8000	-0,000000	0,000000
5,8500	-0,000000	0,000000
5,9000	-0,000000	0,000000
5,9500	-0,000000	0,000000
6,0000	-0,000000	0,000000
6,0500	-0,000000	0,000000
6,1000	-0,000000	0,000000
6,1500	-0,000000	0,000000
6,2000	-0,000000	0,000000
6,2500	-0,000000	0,000000
6,3000	0,000000	0,000000
6,3500	0,000000	0,000000
6,4000	0,000000	-0,000000
6,4500	0,000000	-0,000000
6,5000	0,000000	-0,000000
